constructorResultsId,raceId,constructorId,points,status
16424,1051,6,10,\N
16425,1051,1,2,\N
16426,1051,213,0,\N
16427,1051,51,0,\N
16428,1051,210,0,\N
16429,1051,3,0,\N
16430,1072,131,41,\N
16431,1072,9,18,\N
16432,1072,214,12,\N
16433,1072,1,11,\N
16434,1072,213,8,\N
16435,1072,6,10,\N
16436,1072,51,2,\N
16437,1072,117,0,\N
16438,1072,3,0,\N
16439,1072,210,0,\N
16440,1073,9,26,\N
16441,1073,131,26,\N
16442,1073,6,16,\N
16443,1073,213,22,\N
16444,1073,1,6,\N
16445,1073,214,6,\N
16446,1073,117,0,\N
16447,1073,210,0,\N
16448,1073,3,0,\N
16449,1073,51,0,\N
16450,1074,6,44,\N
16451,1074,131,27,\N
16452,1074,210,10,\N
16453,1074,51,9,\N
16454,1074,214,8,\N
16455,1074,213,4,\N
16456,1074,117,0,\N
16457,1074,3,0,\N
16458,1074,1,0,\N
16459,1074,9,0,\N
16460,1075,9,37,\N
16461,1075,6,34,\N
16462,1075,131,11,\N
16463,1075,214,8,\N
16464,1075,1,6,\N
16465,1075,213,4,\N
16466,1075,210,2,\N
16467,1075,51,0,\N
16468,1075,117,0,\N
16469,1075,3,0,\N
16470,1076,6,26,\N
16471,1076,9,18,\N
16472,1076,131,27,\N
16473,1076,1,18,\N
16474,1076,214,6,\N
16475,1076,51,4,\N
16476,1076,213,2,\N
16477,1076,3,1,\N
16478,1076,117,0,\N
16479,1076,210,0,\N
16480,1077,9,58,\N
16481,1077,1,22,\N
16482,1077,131,12,\N
16483,1077,51,12,\N
16484,1077,6,20,\N
16485,1077,213,6,\N
16486,1077,117,5,\N
16487,1077,210,3,\N
16488,1077,3,0,\N
16489,1077,214,0,\N
16490,1078,9,38,\N
16491,1078,6,33,\N
16492,1078,131,18,\N
16493,1078,51,6,\N
16494,1078,214,4,\N
16495,1078,3,2,\N
16496,1078,117,1,\N
16497,1078,213,0,\N
16498,1078,1,0,\N
16499,1078,210,0,\N
16500,1079,9,44,\N
16501,1079,131,25,\N
16502,1079,6,12,\N
16503,1079,51,8,\N
16504,1079,214,8,\N
16505,1079,1,4,\N
16506,1079,213,1,\N
16507,1079,117,0,\N
16508,1079,210,0,\N
16509,1079,3,0,\N
16510,1080,9,40,\N
16511,1080,6,30,\N
16512,1080,131,14,\N
16513,1080,1,9,\N
16514,1080,214,6,\N
16515,1080,51,2,\N
16516,1080,117,1,\N
16517,1080,213,0,\N
16518,1080,3,0,\N
16519,1080,210,0,\N
16520,1081,9,44,\N
16521,1081,131,27,\N
16522,1081,213,10,\N
16523,1081,117,8,\N
16524,1081,214,7,\N
16525,1081,1,6,\N
16526,1081,51,0,\N
16527,1081,3,0,\N
16528,1081,210,0,\N
16529,1081,6,0,\N
16530,1082,9,25,\N
16531,1082,6,29,\N
16532,1082,131,27,\N
16533,1082,214,10,\N
16534,1082,51,10,\N
16535,1082,117,1,\N
16536,1082,1,0,\N
16537,1082,3,0,\N
16538,1082,213,0,\N
16539,1082,210,0,\N
16540,1083,6,37,\N
16541,1083,9,24,\N
16542,1083,131,16,\N
16543,1083,214,10,\N
16544,1083,1,8,\N
16545,1083,210,5,\N
16546,1083,117,2,\N
16547,1083,3,0,\N
16548,1083,213,0,\N
16549,1083,51,0,\N
16550,1084,6,38,\N
16551,1084,9,31,\N
16552,1084,131,33,\N
16553,1084,214,14,\N
16554,1084,210,14,\N
16555,1084,1,8,\N
16556,1084,51,0,\N
16557,1084,3,0,\N
16558,1084,117,0,\N
16559,1084,213,0,\N
16560,1085,9,37,\N
16561,1085,131,33,\N
16562,1085,6,11,\N
16563,1085,214,12,\N
16564,1085,1,8,\N
16565,1085,117,1,\N
16566,1085,213,0,\N
16567,1085,3,0,\N
16568,1085,51,0,\N
16569,1085,210,0,\N
16570,1086,9,35,\N
16571,1086,131,34,\N
16572,1086,6,20,\N
16573,1086,1,6,\N
16574,1086,214,6,\N
16575,1086,117,1,\N
16576,1086,213,0,\N
16577,1086,51,0,\N
16578,1086,210,0,\N
16579,1086,3,0,\N
16580,1087,9,44,\N
16581,1087,6,23,\N
16582,1087,131,12,\N
16583,1087,214,16,\N
16584,1087,117,4,\N
16585,1087,213,2,\N
16586,1087,3,1,\N
16587,1087,1,0,\N
16588,1087,51,0,\N
16589,1087,210,0,\N
16590,1088,9,36,\N
16591,1088,131,30,\N
16592,1088,6,19,\N
